Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
INTEGRATED RUBIAN EXPORTS LTD.,"V8P2+375, Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,554490,93270,21934,0,0,0,0,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,2000.00251,1886.28159,881.4267628,0,1363.705467
J.B.C. INTERNATIONAL,"SN Junction , Kayal Road Muhamma, J988+P9V, Post, Aryakara, Alappuzha, Muhamma, Kerala 688525, India",Kerala,688525,147911,217221,223286,411215,603350,563298,692253,1006174,998514,Cherthala,Alappuzha,9.619357623,76.35883995,0,991850.2607,996540.4903,998307.4682,1002222.239,994174.1341
JANATHA POLYMERS,"6HWM+972, Kochalummoodu, Vettiyar, Mavelikara, Kerala 690108, India",Kerala,690108,34655,2050,51549,18,315,367,47112,48237,2850,Mavelikkara,Alappuzha,9.249809575,76.57720714,0,6348.357649,4658.840679,4752.451735,3012.830735,2048.704678
JANSONS BALERS,"F8PQ+R47, Municipal Stadium Ward, Vellakkinar, Alappuzha, Kerala 688011, India",Kerala,688011,1823229,1616034,1505947,1353415,1006784,1035027,1139326,1202181,1163916,Ambalapuzha,Alappuzha,9.494271705,76.34375953,0,1167677.954,1167472.636,1163993.007,1171587.08,1171195.462
JAYAKRISHNA COIRS,"Kalavamkodam Post Office, Thankey Jn. - Saktheeshwaram, Alappuzha, Kerala 688524, India",Kerala,688524,41500,47472,0,12224,15031,62795,197411,219496,316618,Cherthala,Alappuzha,9.689101163,76.3328507,0,316877.2523,316001.0577,317264.5626,318976.2964,315589.7647
JAYASREE COIR MILLS,"Thanneermukkom Alleppey, Verungumchuvad, Cherthala, Thanneermukkom, Kerala 688527, India",Kerala,688527,33430,122287,93955,132669,323700,466774,195372,183061,85578,Cherthala,Alappuzha,9.663949955,76.37130391,0,82359.02537,84086.93393,81778.20321,89427.56814,84386.50445
JEMSONS STARCH AND DERIVATIVES ,"V7PW+VQF, Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,46090,25000,18000,36000,54000,0,12058,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,0,0,0,0,0
JR EXPORT INDUSTRIES,"CCSB Rd, Kodiveedu, Alappuzha, Kerala 688001, India",Kerala,688001,140718,154254,110080,257481,150239,71067,168270,67006,24094,Ambalapuzha,Alappuzha,9.496383919,76.33209265,0,25381.22518,24902.8128,28221.22242,24806.48511,18570.99154
KALPAKA EXPORTS,"C942+67H, Neerkunnam, Vandanam, Kerala 688005, India",Kerala,688005,378399,294032,141736,67000,105148,0,0,0,0,Ambalappuzha,Alappuzha,9.40768399,76.35170703,0,3262.28273,0,0,0,0
KALYAN SILKS TRICHUR P.LTD.,"Thrissur, Kerala, India",Kerala,688534,771,0,0,51544,37271,37548,80766,74978,73173,Cherthla,Alappuzha,9.871729377,76.30438504,0,73782.51496,74287.45065,74133.62619,75208.59901,76173.38913
KEMTECH EXPORTS,"M8QW+X2C, Nedumbrakkad, Alleppey, Cherthala, Kerala 688524, India",Kerala,688524,65837,66154,178771,223551,287862,259480,350621,299515,153132,Cherthala,Alappuzha,9.689101163,76.3328507,0,157347.611,150887.3211,155330.1274,155002.924,152854.8641
KERA PALM CREATIONS,"Poonthope Ward, Rahul Nivas, Kommady, Alappuzha, Aryad South, Kerala 688006, India",Kerala,688006,80611,70680,60460,64450,75895,48361,82390,70385,79722,Ambalapuzha,Alappuzha,9.525584704,76.33896854,0,75986.03948,78748.27845,75226.84008,74732.52567,78683.01869
KERALA AGRO MACHINERY CORPN. LTD.,"Kerala, India",Kerala,688524,44100,0,38000,6000,41480,41550,32590,0,0,Cherthala,Alappuzha,9.689101163,76.3328507,0,2084.035857,0,0,188.2078534,0
KERALA BALERS LTD.,"G89H+M6C, Kommady, Kaichoondi, Alappuzha, Aryad South, Kerala 688008, India",Kerala,688008,4826055,4118452,4466996,5303235,4398811,4264842,4961695,3123138,3063591,Ambalapuzha,Alappuzha,9.521471733,76.3244164,0,3063908.91,3063343.876,3064484.714,3063053.526,3061994.447
KERALA CARDAMOM PROCESSING & MKTG.CO.LTD,"Kerala, India",Kerala,688534,200000,64000,86250,73160,0,29920,129215,146541,115394,Cherthla,Alappuzha,9.871729377,76.30438504,0,114566.0265,114007.7177,112481.0765,115617.8859,114645.1859
KERALA DINESH BEEDI WORKERS,"Kerala, India",Kerala,688534,7547,9075,6750,5102,9823,0,0,7591,5948,Cherthla,Alappuzha,9.871729377,76.30438504,0,6913.08634,4124.361917,5818.81635,4618.825296,7158.654586
KERALA HOME FOOD STUFF EXPORT,"Kerala, India",Kerala,688534,627655,632635,392616,507897,306565,257160,180734,203756,222465,Cherthla,Alappuzha,9.871729377,76.30438504,0,217268.4699,217349.4737,223494.5494,217941.1366,222717.7044
KERALA MINERALS & METALS LTD.,"Kerala, India",Kerala,688534,1596980,2807800,2747992,4154057,2578227,2621102,2615108,2328060,2061400,Cherthla,Alappuzha,9.871729377,76.30438504,0,2061819.609,2061890.833,2063376.759,2062566.154,2059759.432
KERALA RUBBER & RECLAIMS LTD.,"Kerala, India",Kerala,688524,28000,0,0,0,0,0,0,0,0,Cherthala,Alappuzha,9.689101163,76.3328507,0,0,537.915267,0,368.8764935,0
KERALA STATE CO-OP.RUBBER MKT.FED.LTD.,"Kerala, India",Kerala,688534,5664,0,0,0,0,0,0,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,0,259.0794703,0,0,486.2683621
KERALA STATE COIR CORPN.LTD.,"F8WJ+464, CCNB Rd, Market Ward, Alappuzha, Kerala 688001, India",Kerala,688001,226044,922870,865017,795278,977976,1665167,1847586,1725224,1034388,Ambalapuzha,Alappuzha,9.496383919,76.33209265,0,1031946.157,1035056.452,1031473.76,1030809.592,1030792.853
KOTTAKKAL AYUR THERAPIES P.LTD.,"Kottakkal, Kerala, India",Kerala,688534,25000,0,0,0,0,0,0,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,0,489.6310998,0,368.8764935,0
KUTHIATHODE COIR MATS&MATTING CO-OP.SOCIETY LTD.,"Kuthiathodu, Kodamthuruth, Kerala, India",Kerala,688534,18823,40511,61665,16000,0,0,0,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,0,366.3115228,0,0,2434.931221
KUTTANADU COIR&RUBBER PRODUCTS,"Kuttanad, Kuttanad Taluk, Kerala",Kerala,688534,272143,13258,66560,0,0,0,0,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,7969.288597,1826.014408,1236.220333,3208.439972,0
LORDS EXPORTS,"CMC-3/79H, Madakkan's Building, North of Manorama Junction, Cherthala, Velorvattom, Alappuzha, Cherthala, Kerala 688524, India",Kerala,688524,55510,99735,48342,34531,89081,139792,204358,59524,141719,Cherthala,Alappuzha,9.689101163,76.3328507,0,143220.7915,139851.4846,144022.2152,141075.8642,141149.5173
MAK PLYWOOD INDUSTRIES PVT LTD,"QV5R+P72, Thalapady JHC, Kinya, Kerala 575023, India",Kerala,688524,36300,0,0,0,0,97,0,0,0,Cherthala,Alappuzha,9.689101163,76.3328507,0,0,555.8373339,181.9748911,0,0
MAROTTIKKAL COIR WORKS,"Cherthala - Arookutty Rd, South, Poochakkal, Kerala 688526, India",Kerala,688526,186300,13250,0,0,21417,73059,207176,65824,139005,Cherthala,Alappuzha,9.806103367,76.35243925,0,141526.4857,139787.1392,135835.039,137710.8905,140530.7485
MATS N MORE,"IV/446A, Valavanadu, Pollathtai P.O, Kalavoor, Alappuzha, Kerala 688522, India",Kerala,688522,250043,490751,1355063,1392430,1641619,2478498,2502489,2863753,2786338,Ambalapuzha,Alappuzha,9.572168203,76.32190507,0,2783144.844,2784717.213,2788159.58,2788142.22,2788985.849
META CLASSICS FIBRES,"Varanam ,Puthanangadi, Krishnakripa, Cherthala, Kerala 688524, India",Kerala,688524,294145,296432,374551,439873,471038,622109,939326,440334,504008,Cherthala,Alappuzha,9.689101163,76.3328507,0,501489.4743,501447.2935,501807.2767,509508.3468,505615.9985
N.C. JOHN & SONS LTD.,"G8RH+V3F, National Highway 47, Pathirappally, Poomkavu, Alappuzha, Kerala 688521, India",Kerala,688521,5192613,6579939,7004422,6250518,6322462,5981225,5508730,3632929,1206918,Ambalapuzha,Alappuzha,9.534986122,76.3284427,0,1206557.154,1207503.05,1206854.615,1207205.763,1206852.985
NATIONAL COIR MILLS,"near, Vazhicherry Rd, Vazhicherry Ward, Sea View Ward, Alappuzha, Kerala 688001, India",Kerala,688001,132695,107690,110303,129670,162079,97626,145191,106370,135162,Ambalapuzha,Alappuzha,9.496383919,76.33209265,0,131551.6723,131892.6077,140759.8273,133194.7709,137991.7141
OCEAN WEALTH EXPORTS,"EP 9/92, 93, Lakshan Veedu Rd, Eramalloor, Ezhupunna, Kerala 688537, India",Kerala,688537,1035058,1586699,1525008,1844837,1304133,1017932,2086254,2370411,1687617,Cherthala,Alappuzha,9.82172572,76.30522974,0,1683765.908,1687939.418,1685339.719,1685906.54,1686554.687
P.K.GOVINDAN CO.,"A. S. Road, Kommady, Kaichoondi, Alappuzha, Aryad South, Kerala 688007, India",Kerala,688007,150,4090,123320,11550,12010,0,0,0,0,Ambalapuzh A,Alappuzha,9.510326071,76.32687786,0,0,711.2113638,961.4012401,193.3926398,722.6898254
PALM FIBRE(INDIA)P.LTD.,"East of NH, Pathirappally, Aikyabharatham, Alappuzha, Kerala 688521, India",Kerala,688521,4703477,6271032,7122657,7212334,7033722,7886369,10828727,6948222,6436127,Ambalapuzha,Alappuzha,9.534986122,76.3284427,0,6436718.294,6437253.853,6437430.663,6437059.257,6436823.707
