Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
JAYAKRISHNA COIRS,"Kalavamkodam Post Office, Thankey Jn. - Saktheeshwaram, Alappuzha, Kerala 688524, India",Kerala,688524,41500,47472,0,12224,15031,62795,197411,219496,316618,Cherthala,Alappuzha,9.689101163,76.3328507,0,316775.33,317068.07,317108.32,316776.15,317319.26
JAYASREE COIR MILLS,"Thanneermukkom Alleppey, Verungumchuvad, Cherthala, Thanneermukkom, Kerala 688527, India",Kerala,688527,33430,122287,93955,132669,323700,466774,195372,183061,85578,Cherthala,Alappuzha,9.663949955,76.37130391,0,85598.19,85741.63,85614.6,85636.9,85598.91
JEMSONS STARCH AND DERIVATIVES ,"V7PW+VQF, Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,46090,25000,18000,36000,54000,0,12058,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,0,0,0,0,0
JR EXPORT INDUSTRIES,"CCSB Rd, Kodiveedu, Alappuzha, Kerala 688001, India",Kerala,688001,140718,154254,110080,257481,150239,71067,168270,67006,24094,Ambalapuzha,Alappuzha,9.496383919,76.33209265,0,24072.46,24091.36,24087.23,24086.85,24100.58
KALPAKA EXPORTS,"C942+67H, Neerkunnam, Vandanam, Kerala 688005, India",Kerala,688005,378399,294032,141736,67000,105148,0,0,0,0,Ambalappuzha,Alappuzha,9.40768399,76.35170703,0,0,0,0,0,0
KALYAN SILKS TRICHUR P.LTD.,"Thrissur, Kerala, India",Kerala,688534,771,0,0,51544,37271,37548,80766,74978,73173,Cherthla,Alappuzha,9.871729377,76.30438504,0,73066.48,73049.96,73062.74,73058.49,73079.8
KEMTECH EXPORTS,"M8QW+X2C, Nedumbrakkad, Alleppey, Cherthala, Kerala 688524, India",Kerala,688524,65837,66154,178771,223551,287862,259480,350621,299515,153132,Cherthala,Alappuzha,9.689101163,76.3328507,0,152661.3,152661.2,152830.07,152716.47,152932.59
KERA PALM CREATIONS,"Poonthope Ward, Rahul Nivas, Kommady, Alappuzha, Aryad South, Kerala 688006, India",Kerala,688006,80611,70680,60460,64450,75895,48361,82390,70385,79722,Ambalapuzha,Alappuzha,9.525584704,76.33896854,0,79502.73,79535.89,79603.2,79542.94,79541.84
KERALA AGRO MACHINERY CORPN. LTD.,"Kerala, India",Kerala,688524,44100,0,38000,6000,41480,41550,32590,0,0,Cherthala,Alappuzha,9.689101163,76.3328507,0,0,0,0,0,0
KERALA BALERS LTD.,"G89H+M6C, Kommady, Kaichoondi, Alappuzha, Aryad South, Kerala 688008, India",Kerala,688008,4826055,4118452,4466996,5303235,4398811,4264842,4961695,3123138,3063591,Ambalapuzha,Alappuzha,9.521471733,76.3244164,0,3059054.98,3050971.35,3047536.02,3051617.58,3048307.65
