Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
EXCEL INTERNATIONAL,8432.0,39858.0,20349.0,51300.0,131045.0,32580.0,4345.0,19048.0,9688.0,10777.089490712617,130837.40599371388,19404.731334759264,8400.47917070098,10168.411297152074
EXTRA WEAVE P. LTD.,375765.0,590874.0,218452.0,1044628.0,1175295.0,1734544.0,3054393.0,1987410.0,1883504.0,2001919.290459436,1166649.7484115325,2017441.6742851888,509316.6578274677,1859249.2929476611
FABA AGENCIES,188154.0,876058.0,622377.0,763004.0,766115.0,967867.0,1339770.0,963608.0,760334.0,897837.2255403919,751188.0807995268,970308.2291925896,200289.88994464677,780873.8104962771
FACT LTD.,528438293.0,500495619.0,386397832.0,476809302.0,561628719.0,731611905.0,566372010.0,468025210.0,384923357.0,270015332.5588022,326492717.8051429,297134341.6704401,350311327.6222596,295191224.584553
FAIR MARKETING COMPANY,16582.0,23222.0,19704.0,21409.0,21766.0,14495.0,18847.0,25409.0,5948.0,6643.469668188653,21458.694569975152,25222.689192024227,17376.89962241353,6108.693394122416
FAREAST TRADING EST.,7800.0,252525.0,310100.0,138170.0,163428.0,50310.0,43280.0,42530.0,37985.0,37468.86170484947,163766.21478023386,43297.528812459466,8469.538720827422,37455.07747463953
FCI OEN CONNECTOR LTD.,480252.0,790404.0,1053192.0,1115247.0,541677.0,925697.0,1079179.0,433833.0,200185.0,271313.7766292896,551905.4145864166,434619.5699810444,490745.862327111,207869.33648965694
FEBIN MARINE FOODS,26540.0,45000.0,10900.0,3140.0,50779.0,28995.0,41730.0,23125.0,13904.0,14310.576464597443,50765.263218390166,23479.73320179167,26449.71863849784,14015.895635313724
FEROKE BOARDS LTD.,6145258.0,6305987.0,7561633.0,8017346.0,9363240.0,5049065.0,7498783.0,4497561.0,6436413.0,0.0,9468465.83283388,1797019.0939770169,4235303.516002724,4389388.383499934
FILTROWIN INDUSTRIES,205962.0,194369.0,340235.0,204260.0,205826.0,305119.0,172521.0,203229.0,187345.0,186511.97232258687,204654.06370226885,203418.6392369231,205028.8654649043,186856.9373576399
FLOORATEX RUBBER & PLASTICS P. LTD.,4080.0,40132.0,18984.0,20120.0,20720.0,148970.0,43020.0,20659.0,20317.0,20433.82021965214,20661.93486320217,20476.036780723527,4371.865616417284,20245.412225246127
FORTUNE MARKETING,5448.0,13544.0,59853.0,52414.0,102871.0,156329.0,180327.0,102418.0,126937.0,126535.47487172548,102168.57104643468,101664.61403191776,5656.578530844686,128493.2333156854
GEMCO RUBBER P. LTD.,355743.0,571094.0,528983.0,587992.0,652680.0,566431.0,199627.0,183043.0,159516.0,163342.6025206968,658577.4647215331,185439.8892633612,348720.85127318447,161000.37307630884
GEMWOOD,336543.0,145667.0,128208.0,143265.0,600505.0,72035.0,573846.0,479503.0,108230.0,113249.72509669118,612743.3482001291,478390.6546991167,326206.587276004,94090.84477913639
GIRNAR FOOD & BEVERAGES P. LTD.,189475.0,55700.0,56015.0,81738.0,80075.0,95764.0,151392.0,287772.0,122161.0,119689.9556583622,79857.23663435529,291322.7721868376,185956.1548919015,123744.15254379356
GLASS HOUSE,1040748.0,2572014.0,1983320.0,870886.0,1499238.0,1167896.0,1003420.0,734809.0,1080424.0,933787.916656477,1479779.828947527,743761.843695478,1099825.7892783722,954619.9029837162
