Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
GLOBAL TRADING COMPANY,25200.0,25200.0,907260.0,3206870.0,2241000.0,2698170.0,2490146.0,2182468.0,2295255.0,2294191.89,2288495.655699996,2285784.2635629983,2282130.33998762,2241132.6
GLOBAL TRADING CORPORATION,569543.0,90576.0,30310.0,17910.0,13170.0,9830.0,8670.0,18100.0,16428.0,16434.53,16426.008500000007,16426.462733999993,16422.350057459997,13175.09
GOOD WOOD IMPORTS,151781.0,105907.0,542910.0,558579.0,1090458.0,948412.0,795905.0,1249085.0,998059.0,999816.66,999831.1440999984,1000383.5496749976,1000609.0447588884,1088832.69
GRACE HOME STYLE TRADE P LTD,123146.0,154345.0,213088.0,174503.0,160262.0,92946.0,48951.0,77858.0,31654.0,31712.81,31737.770800000035,31749.09642500004,31763.55326107007,160242.97
GRAND TOTAL                             ,2713664304.0,2635813697.0,2366701667.0,2511844065.0,2481273539.0,2521187733.0,2341850049.0,2212201513.0,2260327989.0,1985530955.54,1865762749.3319,1529686108.4654322,1420605040.7641692,2213693972.86
GREEN METHOD ENGINEERING (P) LTD.,19584.0,26112.0,26880.0,13440.0,83520.0,6720.0,6720.0,33600.0,20160.0,20179.8,20177.021700000023,20180.669359999985,20188.140039859965,83454.4125
GREEN WUD IMPEX,111057.0,26353.0,138364.0,64572.0,188697.0,339217.0,175077.0,116841.0,143929.0,143964.0,144051.971,144109.90262500028,144179.23529992017,188398.81
GREENLAND PARTICLE BOARDS P. LTD.,3930.0,153472.0,262179.0,191446.0,517140.0,271735.0,178364.0,778625.0,709741.0,710006.51,710382.6650999996,710553.7329620001,710424.8821200888,517538.37
GTN ENTERPRISES LTD.,1305017.0,3234648.0,2802712.0,2914032.0,3034831.0,1465091.0,2179959.0,1954083.0,1837978.0,1838652.38,1841714.2075999973,1846860.197850998,1850024.1552805305,3012034.17
GUARDIAN CONTROLS LTD.,33690.0,56439.0,40241.0,41873.0,37677.0,59085.0,29148.0,8958.0,41814.0,41783.1,41783.70840000005,41784.45138000001,41794.97362921998,37664.58
GUJARAT TEA PROCESSORS & PACKERS LTD.,110367.0,56615.0,90296.0,50737.0,89453.0,55900.0,22760.0,43560.0,33760.0,33790.0,33794.459,33812.41628699996,33811.86666766994,89423.7801
HABA MARKETING,125510.0,73510.0,88051.0,108893.0,107845.0,84372.0,34191.0,231741.0,111420.0,111417.82,111382.82920000008,111375.28281100008,111362.17153046024,107866.59
HIC ABF SPECIAL FOODS P. LTD.,360804.0,570558.0,44054.0,490382.0,589367.0,177560.0,97957.0,188079.0,103523.0,103608.51,103591.90099999988,103533.6911869999,103505.34280119992,589339.95
HITECH MACHINERIES AND EQUIPMENTS,109791.0,65620.0,75795.0,155659.0,430702.0,1002414.0,522290.0,787206.0,1290070.0,1289608.52,1289461.271199999,1288783.740356,1287599.5698361394,430492.585
HLL LIFECARE LTD.,605754.0,339353.0,559661.0,396086.0,350820.0,298582.0,135858.0,279657.0,147778.0,147926.2,147896.81199999986,147890.61695299967,147871.52183726992,350075.22
HORIZON INTERNATIONAL ,128700.0,10510024.0,3651591.0,381308.0,134948.0,1264767.0,503096.0,1714210.0,2023563.0,2024759.21,2024558.8632999992,2025963.0743889976,2026947.3985865496,135000.39
HYBRID COATINGS,274030.0,429824.0,462076.0,332212.0,221770.0,109987.0,92220.0,56080.0,38080.0,38109.13,38114.73589999996,38105.34823199994,38103.088483320025,221790.3
