Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023
GREEN METHOD ENGINEERING (P) LTD.,19584.0,26112.0,26880.0,13440.0,83520.0,6720.0,6720.0,33600.0,20160.0
GREEN WUD IMPEX,111057.0,26353.0,138364.0,64572.0,188697.0,339217.0,175077.0,116841.0,143929.0
GREENLAND PARTICLE BOARDS P. LTD.,3930.0,153472.0,262179.0,191446.0,517140.0,271735.0,178364.0,778625.0,709741.0
GTN ENTERPRISES LTD.,1305017.0,3234648.0,2802712.0,2914032.0,3034831.0,1465091.0,2179959.0,1954083.0,1837978.0
GUARDIAN CONTROLS LTD.,33690.0,56439.0,40241.0,41873.0,37677.0,59085.0,29148.0,8958.0,41814.0
GUJARAT TEA PROCESSORS & PACKERS LTD.,110367.0,56615.0,90296.0,50737.0,89453.0,55900.0,22760.0,43560.0,33760.0
HABA MARKETING,125510.0,73510.0,88051.0,108893.0,107845.0,84372.0,34191.0,231741.0,111420.0
HIC ABF SPECIAL FOODS P. LTD.,360804.0,570558.0,44054.0,490382.0,589367.0,177560.0,97957.0,188079.0,103523.0
HITECH MACHINERIES AND EQUIPMENTS,109791.0,65620.0,75795.0,155659.0,430702.0,1002414.0,522290.0,787206.0,1290070.0
HLL LIFECARE LTD.,605754.0,339353.0,559661.0,396086.0,350820.0,298582.0,135858.0,279657.0,147778.0
HORIZON INTERNATIONAL ,128700.0,10510024.0,3651591.0,381308.0,134948.0,1264767.0,503096.0,1714210.0,2023563.0
HYBRID COATINGS,274030.0,429824.0,462076.0,332212.0,221770.0,109987.0,92220.0,56080.0,38080.0
HYGIENE PACKS,1177517.0,1816727.0,3445350.0,3437550.0,4236463.0,1693199.0,1667679.0,2117197.0,2232632.0
HYKON INDIA (P) LTD.,5739.0,17557.0,161814.0,111768.0,27100.0,180671.0,292467.0,226458.0,63205.0
INDIAN FRUITS,98504.0,201271.0,397850.0,414894.0,315296.0,174756.0,47460.0,251996.0,268601.0
INDIAN PRODUCTS P. LTD.,872732.0,1690543.0,2546542.0,2384270.0,3548116.0,4331261.0,4523186.0,3045623.0,2723570.0
INDO GERMAN TRADING,62953.0,343550.0,486227.0,519404.0,642730.0,629223.0,60094.0,64223.0,105117.0
INDROYAL CRAFTS (P) LTD.,132583.0,151749.0,173424.0,75516.0,212875.0,219993.0,110031.0,247249.0,248111.0
INDUS PLYWOODS,67800.0,72370.0,195087.0,178088.0,82131.0,25988.0,135375.0,280720.0,347380.0
INNOVATIVE FOODS LTD.,110601.0,141369.0,100863.0,87003.0,164052.0,71800.0,72000.0,117388.0,72000.0
J S K INDUSTRIES,1176752.0,1144416.0,987530.0,1050754.0,767060.0,755450.0,897600.0,863384.0,1409434.0
J.R. IMPORTS,377270.0,475966.0,488686.0,395310.0,550369.0,447280.0,622040.0,414628.0,283206.0
JACSONS VENEERS & PANELS P. LTD.,1231510.0,1209332.0,1252395.0,1299036.0,713298.0,494183.0,402515.0,1010443.0,586666.0
JAI KRISHNA IMPEX,19420.0,26333.0,44702.0,46550.0,47860.0,46500.0,23700.0,15890.0,10850.0
JOHN'S UMBRELLA MART,372638.0,188759.0,117823.0,111422.0,149820.0,212447.0,124374.0,215810.0,100767.0
JOLLYFLEX,30436.0,9698.0,47107.0,12904.0,28726.0,17005.0,29155.0,49747.0,86949.0
