Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
EXCEL LEATHERS,"Near KSEB, 68/1637A, Mariakutty John Rd, near Power House Road, Power House Junction, Kacheripady, Kochi, Kerala 682018, India",Kerala,682018,673,937,0,0,0,0,0,0,0,Ernakulam,Ernakulam,9.991596464,76.28133009,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
F.G.TRADING COMPANY,"Room No:40/5476, First Floor,Ruquia Chamber, TD Rd, Padma Junction, Pullepady, Kochi, Kerala 682035, India",Kerala,682035,2100,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam,9.979283159,76.28271734,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
FAVOUR-ITA INTERNATIONAL,"Door No. XI/408, NH-66, Cheriakadavu, Kannamaly, Cheriakadavu, Kannamaly, Kochi, Kerala 682008, India",Kerala,682008,58345,36025,50676,68447,123635,187772,107659,64693,59190,Kochi,Ernakulam,9.869597658,76.26596289,0,59340.71864,59234.72602,59243.38584,59379.82375,59385.09372
FCI OEN CONNECTORS LTD.,"29/2089 State Highway 15 Tripunithura, Road, Thykoodam, Vyttila, Kochi, Kerala 682019, India",Kerala,682019,200782,323444,242920,289828,224462,484592,1046776,892011,494142,Ernakulam,Ernakulam,9.96996996,76.31541059,0,497808.0804,501298.9363,498708.0427,486959.9668,489341.9147
FILTROWIN INDUSTRIES,"1150c, Subhash Chandra Bose Rd, Jawahar Nagar, Elamkulam, Kochi, Kerala 682020, India",Kerala,682020,472618,658630,624573,837696,838857,622638,792204,780444,739328,Ernakulam,Ernakulam,9.968617363,76.30114695,0,751054.2357,751355.3967,745258.1914,742127.318,751787.4612
FINE ART EMPORIUM,"6/140, Synagogue Ln, Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002, India",Kerala,682002,48,0,0,0,0,225,0,0,0,Kochi,Ernakulam,9.957255233,76.25402237,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
FIVE STAR OFFSET PRINTERS,"Press Kottadayil Building, Near North,, Lakeshore Hospital, Nettoor, Maradu, Kochi, Kerala 682040, India",Kerala,682040,925,950,1192,0,0,3000,0,0,0,Kanayannur,Ernakulam,9.923889512,76.31571828,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
GEO SEAFOODS,"Pallichal Road, Valummel, Pallichal, Kochi, Kerala 682005, India",Kerala,682005,4423302,2951520,3717165,4108617,3337145,3093427,3093498,3323084,2923359,Kochi,Ernakulam,9.940253061,76.25960161,0,3510356.518,3205471.073,3147717.324,3163751.47,3155733.646
GLOBAL EXPORTERS,"2nd Floor,307/C6,KSIE Building Cochin InternationalContainer Freight Staton, Old Anavathil Jn ICTT Road, P.O, Udyogamandal, Kalamassery, Kochi, Kerala 683501, India",Kerala,683501,1188834,1496717,1106699,1132793,1400630,1781684,2283208,1598362,2379745,Ernakulam,Ernakulam,10.06539608,76.305478,0,2607407.247,2608342.544,2624901.146,2642779.896,2637398.42
GLOBEX GLOVES,"3F3J+62X, Vengola, Kerala 683556, India",Kerala,683556,5512,0,0,0,0,0,0,0,0,Kunnathunad,Ernakulam,10.08312596,76.47373216,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
