Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
OCEAN WEALTH EXPORTS,"EP 9/92, 93, Lakshan Veedu Rd, Eramalloor, Ezhupunna, Kerala 688537, India",Kerala,688537,1035058,1586699,1525008,1844837,1304133,1017932,2086254,2370411,1687617,Cherthala,Alappuzha,9.82172572,76.30522974,0,1697680.414,1687340.905,1691344.686,1711071.371,1736306.589
P.K.GOVINDAN CO.,"A. S. Road, Kommady, Kaichoondi, Alappuzha, Aryad South, Kerala 688007, India",Kerala,688007,150,4090,123320,11550,12010,0,0,0,0,Ambalapuzh A,Alappuzha,9.510326071,76.32687786,0,0,29.60989,0,12.75625347,48.2464055
PALM FIBRE(INDIA)P.LTD.,"East of NH, Pathirappally, Aikyabharatham, Alappuzha, Kerala 688521, India",Kerala,688521,4703477,6271032,7122657,7212334,7033722,7886369,10828727,6948222,6436127,Ambalapuzha,Alappuzha,9.534986122,76.3284427,0,10514985.95,10536703.59,10541340.08,10542771.34,10539794.51
PARAYIL FOOD PRODUCTS P.LTD.,"Kochi,, V7PW+8X2, Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,1052558,1653885,1957655,2134671,2846558,2186741,4507946,5303099,7220327,Cherthla,Alappuzha,9.871729377,76.30438504,0,7911237.826,7773993.728,7744752.078,7745270.807,7769107.7
POBJI EMPORIUM,"Valavanadu, P.O, Kalavoor, Alappuzha, Kerala 688522, India",Kerala,688522,1086007,1434545,1285699,1551734,1562623,1210061,1761393,1606980,1746482,Ambalapuzha,Alappuzha,9.572168203,76.32190507,0,1679258.07,1712841.033,1720673.422,1743111.429,1750902.554
POOPPALLY COIR MILLS,"AS Road, 688 007, Kommady, Thumpoly, Alappuzha, Aryad South, Kerala 688008, India",Kerala,688008,1363760,1292062,1080234,1632823,1551727,1717956,1795928,1847814,1699906,Ambalapuzha,Alappuzha,9.521471733,76.3244164,0,1714027.633,1635483.692,1681747.191,1687436.492,1691375.246
PREMIER EXPORTS INTERNATIONAL,"R8Q5+8HG, Salem - Kochi Hwy, Chandiroor, Kerala 688535, India",Kerala,688535,1413628,1513289,1470294,2172345,1716353,1044550,1314147,1157217,1292564,Cherthala,Alappuzha,9.8564922,76.32294532,0,1320007.359,1286806.688,1300150.249,1304994.268,1315506.452
PREMIER INNOVATIVE FOODS,"Pallipuram p.o, Pallippuram Thycattussery Road, Pallipuram, Kerala 688541, India",Kerala,688541,128000,89180,88944,0,0,0,0,0,0,Cherthala,Alappuzha,9.742432095,76.36193387,0,0,2.132174622,0,14.64905419,0
PREMIER MARINE ENTERPRISES,"R8F4+6MQ, Rd, Neendakara, Eramalloor, Ezhupunna, Kerala 688537, India",Kerala,688537,206000,357500,322000,568300,155180,202489,513597,767808,470336,Cherthala,Alappuzha,9.82172572,76.30522974,0,468585.7511,467338.441,465734.7552,467386.6635,470724.564
PREMIER MARINE FOODS,"Premier Marine Foods, V835+8C7, National Highway 47, Chandiroor, Kochi, Kerala 688535, India",Kerala,688535,3353830,3962064,4902574,3988860,4185712,3831341,4744141,4174005,4586459,Cherthala,Alappuzha,9.8564922,76.32294532,0,8384424.128,8326783.426,8385762.908,8346023.794,8372577.545
R.F. EXPORTS,"Eramalloor,, Chandiroor, Alappuzha, Kerala 688537, India",Kerala,688537,2071952,2653742,2549390,3401208,3306954,3614404,4385239,4046554,2562877,Cherthala,Alappuzha,9.82172572,76.30522974,0,2781824.157,2464627.526,2471610.495,2585771.181,2609460.118
R.S.A MARINES,"Old, NH road, Chandiroor, Cherthala, Kerala 688547, India",Kerala,688547,283158,1131940,2035158,1444591,998632,1188645,1152740,365500,363000,Cherthala,Alappuzha,9.765011083,76.36738138,0,406548.4509,391448.3616,399085.7234,416794.9216,405207.5481
