Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
THAIMADAM MACHINES,"CHX3+3RC, Changanassery Bypass, Kunnakkad, Fathimapuram, Changanassery, Kerala 686101, India",Kerala,686101,0,0,4415,0,0,0,0,0,0,Changanassery,Kottayam,9.447470443010753,76.5399100483871,0,0.0,9.922911698058022e-11,0.0,0.0,0.0
VENUS PHOTO WORLD,"Palace Rd, near UCO BANK, Changanassery, Aramanapady, Kottayam, Changanassery, Kerala 686101, India",Kerala,686101,0,0,110,0,0,0,0,0,0,Changanassery,Kottayam,9.447470443010753,76.5399100483871,0,0.0,8.760841975460467e-11,0.0,0.0,0.0
HANANI RUBBERS,"I D Plot No.90, P.O, Poovanthuruthu, Kottayam, Kerala 686012, India",Kerala,686012,0,0,0,18210,10152,0,0,0,0,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,0.0,3.727124954419079e-11,0.0,0.0,0.0
PALANI VIJAY COTTSPIN PVT LTD,"Palani, Tamil Nadu, India",Tamil Nadu,686012,0,0,0,6956,0,0,0,0,0,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,0.0,7.161951927124703e-11,0.0,0.0,0.0
SANTHIGIRI KOOTTUKUDUMB COIR,"Ettumanoor, Kerala 686631, India",Kerala,686631,0,0,0,83200,14000,0,0,0,0,Kottayam,Kottayam,9.673597835897436,76.55975298397436,0,0.0,0.0,0.0,0.0,0.0
VADAKKUMCHERRY EXPORTS,"Vadakkencherry, Kerala, India",Kerala,686012,0,0,0,1060,0,0,0,0,28400,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,28399.99999999888,28399.999999999527,28399.99999999925,28399.999999997905,28399.99999999949
CLOUDS INTERNATIONAL EXPORTS,"Kanjirappally, Kerala 686507, India",Kerala,686507,0,0,0,0,1667,0,0,0,0,Kanjirappally,Kottayam,9.558497567123288,76.79145172602739,0,0.0,8.584014356902223e-11,0.0,0.0,0.0
ESTEEM RUBBER PRODUCTS,"Perumpanachy Thottakkad Road Thottackad, Perumpanachy, Kerala 686536, India",Kerala,686536,0,0,0,0,17345,0,0,0,0,Changanassery,Kottayam,9.4773755375,76.58214364166666,0,0.0,7.200223665427565e-11,0.0,0.0,0.0
KERALA SANGHEETHA NATAK ACCADEMY,"Kerala, India",Kerala,686012,0,0,0,0,1300,0,0,0,0,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,0.0,8.61640695696417e-11,0.0,0.0,0.0
NELLIMALAYIL TRADERS,"Anithottam near Bsnl tower, Kanjirappally, Kerala 686507, India",Kerala,686507,0,0,0,0,55935,116882,81518,74476,38495,Kanjirappally,Kottayam,9.558497567123288,76.79145172602739,0,38494.99999999908,38494.999999999454,38494.99999999931,38494.99999999825,38494.99999999949
ST.THOMAS ENGINEERING WORKS,"Opp.South Indian Bank, St.John's Dayara Complex, SH 1, Chingavanam, Kottayam, Chingavanam, Kerala 686531, India",Kerala,686531,0,0,0,0,1420,0,0,0,0,Changanacherry,Kottayam,9.5105107,76.52202866666666,0,0.0,8.605815371112849e-11,0.0,0.0,0.0
TPJ RUBBER INDUSTRIES,"Industrial Development Plot, PO, Poovanthuruthu, Kottayam, Kerala 686012, India",Kerala,686012,0,0,0,0,25722,0,0,0,0,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,0.0,6.460842709790162e-11,0.0,0.0,0.0
